Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Tue Jul 30 16:04:48 2024
| Host         : aoi running 64-bit Ubuntu 18.04.6 LTS
| Command      : report_utilization -file util.8.txt -hierarchical
| Design       : blackparrot_bd_1_wrapper
| Device       : xc7z045ffg900-2
| Speed File   : -2
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                                  Instance                                                 |                                   Module                                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
|                   unhardened.tf.twof                                                                      |                                                         bsg_two_fifo_1652 |         31 |          7 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                                         bsg_two_fifo_1652 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized0_1653 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                   bsg_mem_1r1w_synth__parameterized0_1654 |         27 |          3 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 input_awaddr_fifo_1                                                                       |                                  bsg_fifo_1r1w_small__parameterized0_1642 |         18 |         10 |       8 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                                              bsg_two_fifo |         18 |         10 |       8 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                                              bsg_two_fifo |          5 |          5 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                              bsg_mem_1r1w__parameterized0 |         13 |          5 |       8 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                        bsg_mem_1r1w_synth__parameterized0 |         13 |          5 |       8 |    0 |     0 |      0 |      0 |          0 |
|                 input_wdata_fifo_0                                                                        |                                       bsg_fifo_1r1w_small__parameterized1 |         29 |          5 |      24 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                         bsg_two_fifo__parameterized0_1649 |         29 |          5 |      24 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                         bsg_two_fifo__parameterized0_1649 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized1_1650 |         25 |          1 |      24 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                   bsg_mem_1r1w_synth__parameterized1_1651 |         25 |          1 |      24 |    0 |     0 |      0 |      0 |          0 |
|                 input_wdata_fifo_1                                                                        |                                  bsg_fifo_1r1w_small__parameterized1_1643 |          9 |          5 |       4 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                              bsg_two_fifo__parameterized0 |          9 |          5 |       4 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                              bsg_two_fifo__parameterized0 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                              bsg_mem_1r1w__parameterized1 |          6 |          2 |       4 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                        bsg_mem_1r1w_synth__parameterized1 |          6 |          2 |       4 |    0 |     0 |      0 |      0 |          0 |
|                 read_resp_fifo                                                                            |                                       bsg_fifo_1r1w_small__parameterized2 |          7 |          5 |       2 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                         bsg_two_fifo__parameterized1_1646 |          7 |          5 |       2 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                         bsg_two_fifo__parameterized1_1646 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized2_1647 |          4 |          2 |       2 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                   bsg_mem_1r1w_synth__parameterized2_1648 |          4 |          2 |       2 |    0 |     0 |      0 |      0 |          0 |
|                 write_resp_fifo                                                                           |                                  bsg_fifo_1r1w_small__parameterized2_1644 |          7 |          5 |       2 |    0 |     4 |      0 |      0 |          0 |
|                   unhardened.tf.twof                                                                      |                                              bsg_two_fifo__parameterized1 |          7 |          5 |       2 |    0 |     4 |      0 |      0 |          0 |
|                     (unhardened.tf.twof)                                                                  |                                              bsg_two_fifo__parameterized1 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |          0 |
|                     mem_1r1w                                                                              |                                              bsg_mem_1r1w__parameterized2 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                       synth                                                                               |                                        bsg_mem_1r1w_synth__parameterized2 |          6 |          4 |       2 |    0 |     0 |      0 |      0 |          0 |
|                 write_rr                                                                                  |                                                       bsg_round_robin_arb |         39 |         39 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 write_valid_completed_regs                                                                |                                        bsg_dff_reset__parameterized0_1645 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |          0 |
|               axis_packer                                                                                 |                                                     bsg_axi_stream_packer |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 safe_last_reg                                                                             |                              bsg_dff_reset_set_clear__parameterized0_1640 |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|               bb                                                                                          |                                                           bsg_tag_bitbang |          1 |          1 |       0 |    0 |     2 |      0 |      0 |          0 |
|                 tag_clk_reg                                                                               |                                                             bsg_dff_reset |          1 |          1 |       0 |    0 |     1 |      0 |      0 |          0 |
|                 tag_data_reg                                                                              |                                                           bsg_dff_en_1639 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |          0 |
|               blackparrot                                                                                 |                                                                bp_axi_top |      37789 |      35280 |    2491 |   18 | 14546 |     47 |      3 |         11 |
|                 async.dma_in_data_af                                                                      |                                            bsg_async_fifo__parameterized1 |         60 |         16 |      44 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized5_1633 |         44 |          0 |      44 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                                   bsg_mem_1r1w_synth__parameterized5_1638 |         44 |          0 |      44 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                                   bsg_async_ptr_gray_1634 |         11 |         11 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                                   bsg_async_ptr_gray_1634 |         11 |         11 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__2 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1637 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                                   bsg_async_ptr_gray_1635 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                                   bsg_async_ptr_gray_1635 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__1 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1636 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.dma_out_data_af                                                                     |                                       bsg_async_fifo__parameterized1_1143 |         60 |         16 |      44 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                              bsg_mem_1r1w__parameterized5 |         44 |          0 |      44 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                                        bsg_mem_1r1w_synth__parameterized5 |         44 |          0 |      44 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                                   bsg_async_ptr_gray_1629 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                                   bsg_async_ptr_gray_1629 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__6 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1632 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                                   bsg_async_ptr_gray_1630 |         11 |         11 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                                   bsg_async_ptr_gray_1630 |         11 |         11 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__7 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1631 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.dma_pkt_af                                                                          |                                            bsg_async_fifo__parameterized0 |        234 |        208 |      26 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                              bsg_mem_1r1w__parameterized4 |        217 |        191 |      26 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                                        bsg_mem_1r1w_synth__parameterized4 |        217 |        191 |      26 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                                   bsg_async_ptr_gray_1625 |          6 |          6 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                                   bsg_async_ptr_gray_1625 |          6 |          6 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__4 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1628 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                                   bsg_async_ptr_gray_1626 |         11 |         11 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                                   bsg_async_ptr_gray_1626 |         11 |         11 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__3 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1627 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.mem_fwd_iaf                                                                         |                                                            bsg_async_fifo |         77 |         21 |      56 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized3_1619 |         61 |          5 |      56 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                                   bsg_mem_1r1w_synth__parameterized3_1624 |         61 |          5 |      56 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                                   bsg_async_ptr_gray_1620 |         11 |         11 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                                   bsg_async_ptr_gray_1620 |         11 |         11 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__8 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1623 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                                   bsg_async_ptr_gray_1621 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                                   bsg_async_ptr_gray_1621 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__9 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1622 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.mem_fwd_oaf                                                                         |                                                       bsg_async_fifo_1144 |        102 |         18 |      84 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized3_1613 |         84 |          0 |      84 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                                   bsg_mem_1r1w_synth__parameterized3_1618 |         84 |          0 |      84 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                                   bsg_async_ptr_gray_1614 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                                   bsg_async_ptr_gray_1614 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                  bsg_launch_sync_sync__parameterized0__12 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1617 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                                   bsg_async_ptr_gray_1615 |         13 |         13 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                                   bsg_async_ptr_gray_1615 |         13 |         13 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                  bsg_launch_sync_sync__parameterized0__13 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1616 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.mem_rev_iaf                                                                         |                                                       bsg_async_fifo_1145 |        103 |         19 |      84 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                         bsg_mem_1r1w__parameterized3_1607 |         85 |          1 |      84 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                                   bsg_mem_1r1w_synth__parameterized3_1612 |         85 |          1 |      84 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                                   bsg_async_ptr_gray_1608 |         11 |         11 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                                   bsg_async_ptr_gray_1608 |         11 |         11 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                  bsg_launch_sync_sync__parameterized0__14 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1611 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                   bapg_wr                                                                                 |                                                   bsg_async_ptr_gray_1609 |          7 |          7 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_wr)                                                                             |                                                   bsg_async_ptr_gray_1609 |          7 |          7 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                   bsg_launch_sync_sync__parameterized0__5 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                       sync.p.z.blss                                                                       |                                  bsg_launch_sync_sync_posedge_4_unit_1610 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
|                 async.mem_rev_oaf                                                                         |                                                       bsg_async_fifo_1146 |         42 |         16 |      26 |    0 |    38 |      0 |      0 |          0 |
|                   MSYNC_1r1w                                                                              |                                              bsg_mem_1r1w__parameterized3 |         26 |          0 |      26 |    0 |     0 |      0 |      0 |          0 |
|                     synth                                                                                 |                                        bsg_mem_1r1w_synth__parameterized3 |         26 |          0 |      26 |    0 |     0 |      0 |      0 |          0 |
|                   bapg_rd                                                                                 |                                                   bsg_async_ptr_gray_1603 |          5 |          5 |       0 |    0 |    19 |      0 |      0 |          0 |
|                     (bapg_rd)                                                                             |                                                   bsg_async_ptr_gray_1603 |          5 |          5 |       0 |    0 |     7 |      0 |      0 |          0 |
|                     ptr_sync                                                                              |                                  bsg_launch_sync_sync__parameterized0__10 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |          0 |
